id,sex,s_maths,s_read,behav1,behav2,e_behav3,e_maths,e_read,start_vocab_total,School,Class,Age_at_start,Age_at_end,SimMATH,SimMath-ability,SimMath-noAbility,TformulaMyAbility,KformulaMyability
66,M,26,57,1,0,2,31,81,20,3,1140,4.92,5.67,54.64,54.09,35.7599132205346,36.4853135131523,52.4940455322742
67,F,17,23,2,4,1,30,75,14,3,1140,4.07,4.9,56.93,55.55,30.8120976337099,32.032583167831,54.94243706686
68,F,23,34,3,0,0,31,82,16,3,1140,4.65,5.4,52.27,51.08,40.8911636863348,40.6118281241073,59.4195320519261
69,M,22,26,3,1,0,39,70,15,3,1140,4.53,5.36,58.56,56.67,39.3325269165208,39.8396684364061,57.7529769337422
70,F,34,38,3,1,0,28,68,19,3,1140,4.13,4.87,61.76,56.32,35.3798003998147,36.1472661203934,56.5039747942392
71,M,21,21,3,0,0,20,45,9,3,1140,4.63,5.37,55.96,53.54,36.2939377271978,35.2960051606106,57.0793255290325
72,M,27,45,1,0,1,42,88,18,3,1140,4.43,5.1,60,50.68,46.0118751903511,45.4171883247904,57.4213837571118
73,M,50,67,1,2,3,40,104,21,3,1140,4.8,5.55,58.36,52.03,44.4716325580507,44.7386758873935,58.0251769900723
74,F,30,33,1,0,0,32,75,17,3,1140,4.99,5.66,54.13,55.03,31.4616448486398,31.584648164644,52.1870734550229
75,F,23,47,5,6,0,31,84,17,3,1140,4.08,4.83,52.73,54.97,41.3175942678371,41.3184433976573,56.9312967962753
76,M,24,18,2,0,1,33,70,5,3,1140,4.52,5.35,58.71,56.72,31.9680163969881,32.6401833153054,54.5721243588737
77,F,32,68,0,5,0,53,170,19,3,1140,4.56,5.23,52.57,56.2,51.1013661787366,50.6501249022592,51.2920424877843
78,F,19,34,4,0,3,33,80,16,3,1140,4.54,5.2,61.4,54.97,36.7466126426553,35.9048263228697,57.5625514491333
79,M,21,28,3,4,0,30,44,19,3,1140,4.34,5.01,54.06,55.11,32.3467329239857,32.596454575892,56.8179522879404
80,M,42,23,4,1,0,32,59,13,3,1140,4.52,5.18,57.58,54.15,36.3555118661853,37.0181198051267,55.1236670088403
81,F,27,44,2,0,0,33,93,20,3,1140,4.76,5.43,59.06,55.63,42.2393540561057,42.3601297493992,58.790264769649
82,M,24,55,1,1,1,45,126,20,3,1140,4.36,5.11,56.02,54.73,42.8024076869241,42.6232050836245,55.1296693153304
83,F,35,41,2,1,1,31,73,18,3,1140,4.65,5.48,58.04,54.96,37.8541991654531,38.519918905903,57.4467637643424
84,F,25,24,2,0,0,41,101,13,3,1144,,5.18,56.47,55.68,44.2389233884555,42.7420058514939,54.7837121485945
85,M,29,56,0,0,0,53,151,19,3,1144,,5.34,56.69,55.21,48.325880968109,48.2807386449087,57.9800632125456
86,F,26,57,4,3,0,50,149,16,3,1144,,,50.19,55.35,44.4033384960239,45.1192387743202,55.7372839616962
87,M,25,32,2,1,1,43,96,16,3,1144,,,53.91,57.47,44.0125765451687,44.1330863311588,53.7224233771518
88,M,35,36,8,0,0,35,99,19,3,1144,,5.26,56.6,55.06,38.0545989086646,37.7876786667364,59.2561995918076
89,M,27,37,3,2,2,40,110,17,3,1144,,5.71,58.42,56.19,45.1361327120005,45.8400057908383,55.0652281511763
90,M,41,34,2,0,0,38,104,18,3,1144,,5.3,53.12,55.57,43.6822213387028,43.5399339156214,57.1381564083083
91,F,17,23,0,0,0,39,102,12,3,1144,,5.2,59.39,56.26,31.8199901040312,31.5265539560521,58.8750892292642
92,F,20,35,0,2,0,38,106,17,3,1144,,5.2,57.02,55.44,38.0552045290765,38.0537864423786,54.3295357409435
93,F,34,59,0,3,1,49,151,17,3,1144,,5.57,65.47,56.96,53.548669818662,53.568297735149,55.6355543607097
94,M,20,42,4,0,0,40,83,18,3,1144,,5.15,56.28,59.41,34.5895853164678,34.7761407256201,56.7206734553501
95,F,27,62,0,0,0,54,151,19,3,1144,,5.07,59.8,53.32,45.8467119881643,46.3164689631104,50.9277953969562
